Speaker Label,Gender,Word,Vowel Phoneme,Class Number,Formant 1,Formant 2,Formant 3
mrs001,M,who'd,UW,3,405,2405,3405
mam001,M,heed,IY,1,165,2270,3656
mam001,M,had,AE,2,703,1486,3621
mam001,M,who'd,UW,3,513,1702,3189
jxs001,M,heed,IY,1,270,1648,3486
jxs001,M,had,AE,2,703,1378,2451
jxs001,M,who'd,UW,3,649,2504,3648
apd001,M,heed,IY,1,250,2162,3594
apd001,M,had,AE,2,703,1465,2594
apd001,M,who'd,UW,3,432,1756,3305
ajh001,M,heed,IY,1,135,1486,2405
ajh001,M,had,AE,2,784,1405,2456
ajh001,M,who'd,UW,3,486,1513,2378
rkk001,F,heed,IY,1,243,2621,3351
rkk001,F,had,AE,2,892,1567,2297
rkk001,F,who'd,UW,3,378,1838,2621
lst001,F,heed,IY,1,145,2459,3162
lst001,F,had,AE,2,784,1621,2864
lst001,F,who'd,UW,3,324,1702,3081
knb001,F,heed,IY,1,189,2891,3270
knb001,F,had,AE,2,892,1946,3070
knb001,F,who'd,UW,3,432,2243,2864
jep001,F,heed,IY,1,120,1594,3189
jep001,F,had,AE,2,766,1892,2837
jep001,F,who'd,UW,3,420,2081,2945
alw001,F,heed,IY,1,144,2027,3083
alw001,F,had,AE,2,784,1702,2729
alw001,F,who'd,UW,3,540,2270,2945
